user_id,news_id,rank
U80234,N38215,1
U80234,N7618,2
U80234,N41220,3
U80234,N4936,4
U80234,N19318,5
U80234,N16844,6
U80234,N14726,7
U80234,N41122,8
U80234,N14523,9
U80234,N39765,10
U60458,N38215,1
U60458,N7618,2
U60458,N41220,3
U60458,N4936,4
U60458,N19318,5
U60458,N16844,6
U60458,N14726,7
U60458,N41122,8
U60458,N14523,9
U60458,N39765,10
U44190,N38215,1
U44190,N7618,2
U44190,N41220,3
U44190,N4936,4
U44190,N19318,5
U44190,N16844,6
U44190,N14726,7
U44190,N41122,8
U44190,N14523,9
U44190,N39765,10
U87380,N38215,1
U87380,N7618,2
U87380,N41220,3
U87380,N4936,4
U87380,N19318,5
U87380,N16844,6
U87380,N14726,7
U87380,N41122,8
U87380,N14523,9
U87380,N39765,10
U9444,N38215,1
U9444,N7618,2
U9444,N41220,3
U9444,N4936,4
U9444,N19318,5
U9444,N16844,6
U9444,N14726,7
U9444,N41122,8
U9444,N14523,9
U9444,N39765,10
U69606,N38215,1
U69606,N7618,2
U69606,N41220,3
U69606,N4936,4
U69606,N19318,5
U69606,N16844,6
U69606,N14726,7
U69606,N41122,8
U69606,N14523,9
U69606,N39765,10
U70421,N38215,1
U70421,N7618,2
U70421,N41220,3
U70421,N4936,4
U70421,N19318,5
U70421,N16844,6
U70421,N14726,7
U70421,N41122,8
U70421,N14523,9
U70421,N39765,10
U38418,N38215,1
U38418,N7618,2
U38418,N41220,3
U38418,N4936,4
U38418,N19318,5
U38418,N16844,6
U38418,N14726,7
U38418,N41122,8
U38418,N14523,9
U38418,N39765,10
U9568,N38215,1
U9568,N7618,2
U9568,N41220,3
U9568,N4936,4
U9568,N19318,5
U9568,N16844,6
U9568,N14726,7
U9568,N41122,8
U9568,N14523,9
U9568,N39765,10
U77860,N38215,1
U77860,N7618,2
U77860,N41220,3
U77860,N4936,4
U77860,N19318,5
U77860,N16844,6
U77860,N14726,7
U77860,N41122,8
U77860,N14523,9
U77860,N39765,10
U24918,N38215,1
U24918,N7618,2
U24918,N41220,3
U24918,N4936,4
U24918,N19318,5
U24918,N16844,6
U24918,N14726,7
U24918,N41122,8
U24918,N14523,9
U24918,N39765,10
U50227,N38215,1
U50227,N7618,2
U50227,N41220,3
U50227,N4936,4
U50227,N19318,5
U50227,N16844,6
U50227,N14726,7
U50227,N41122,8
U50227,N14523,9
U50227,N39765,10
U46210,N38215,1
U46210,N7618,2
U46210,N41220,3
U46210,N4936,4
U46210,N19318,5
U46210,N16844,6
U46210,N14726,7
U46210,N41122,8
U46210,N14523,9
U46210,N39765,10
U47134,N38215,1
U47134,N7618,2
U47134,N41220,3
U47134,N4936,4
U47134,N19318,5
U47134,N16844,6
U47134,N14726,7
U47134,N41122,8
U47134,N14523,9
U47134,N39765,10
U27387,N38215,1
U27387,N7618,2
U27387,N41220,3
U27387,N4936,4
U27387,N19318,5
U27387,N16844,6
U27387,N14726,7
U27387,N41122,8
U27387,N14523,9
U27387,N39765,10
U18529,N38215,1
U18529,N7618,2
U18529,N41220,3
U18529,N4936,4
U18529,N19318,5
U18529,N16844,6
U18529,N14726,7
U18529,N41122,8
U18529,N14523,9
U18529,N39765,10
U15905,N38215,1
U15905,N7618,2
U15905,N41220,3
U15905,N4936,4
U15905,N19318,5
U15905,N16844,6
U15905,N14726,7
U15905,N41122,8
U15905,N14523,9
